WaterBodyID,WaterBodyType,WaterBodyTypeName,Latitude,Longitude,Temperature_C,Salinity_PSU,pH,DissolvedOxygen_mgL,Turbidity_NTU,Chlorophyll_μgL,Problem
SEA-EM-001,EM,河口混合区,30.366809019706867,120.60848448591908,13.8,22.5,8.21,6.8,31.2,7.98,温度过低警告
SEA-EM-002,EM,河口混合区,31.215089703802878,120.34104824737459,24.8,15.7,7.58,5.2,34.0,9.9,酸化趋势
SEA-CB-003,CB,珊瑚礁海域,16.73941782210211,116.78709239435192,28.8,37.2,7.51,5.3,5.9,0.57,珊瑚白化风险
SEA-EM-004,EM,河口混合区,30.011044234247205,121.63092285690966,25.4,4.3,7.57,5.7,33.0,18.0,富营养化
SEA-EM-005,EM,河口混合区,30.9444298503239,120.2391884918766,23.6,15.9,8.76,5.3,92.9,11.0,泥沙淤积严重
SEA-OS-006,OS,开阔大洋,27.641531692142518,124.26665341562915,16.8,33.2,8.58,4.8,0.8,0.37,碱化趋势
SEA-AF-007,AF,人工渔场/养殖区,22.28132336587877,115.45404429776748,20.7,30.4,7.65,5.8,24.0,12.01,酸化趋势
SEA-EM-008,EM,河口混合区,30.569680988754936,120.07377389470906,27.8,24.2,7.8,6.6,6.6,9.09,悬浮物增加
SEA-EM-009,EM,河口混合区,31.26705942152179,121.07154936814952,22.9,22.7,8.08,4.9,56.1,5.06,水体浑浊
SEA-CM-010,CM,海草/海藻床,38.22694704248118,119.34938723655712,22.2,32.8,8.55,7.7,9.7,8.06,碱化趋势
SEA-EM-011,EM,河口混合区,31.774172848530235,121.55975109171524,21.2,24.8,7.54,4.2,71.0,14.76,泥沙淤积严重
SEA-CM-012,CM,海草/海藻床,39.69844682098836,118.81522578460068,21.4,31.5,7.31,5.9,15.7,11.24,海草缺氧胁迫
SEA-CM-013,CM,海草/海藻床,38.56154472488171,117.5486319328629,19.7,35.1,7.86,10.9,14.1,5.35,沉积物增加
SEA-AF-014,AF,人工渔场/养殖区,22.184074400428415,115.53263942217893,24.8,25.0,7.21,3.5,1.5,10.02,鱼类缺氧危机
SEA-AF-015,AF,人工渔场/养殖区,22.834541132597042,113.24478254120072,23.9,27.2,7.0,6.8,7.8,14.17,酸化趋势
